,household_key,WEEK_NO_BINNED,SALES_VALUE,COUPON_DISC,COUPON_DISC_BOOL
0,1,"(0, 12]",119.75999999999998,-1.0,1.0
1,1,"(12, 24]",606.7400000000004,-6.25,1.0
2,1,"(24, 36]",514.08,-6.199999999999999,1.0
3,1,"(36, 48]",487.25,-14.3,1.0
4,1,"(48, 60]",559.9100000000003,-23.73,1.0
5,1,"(60, 72]",653.4200000000005,-12.7,1.0
6,1,"(72, 84]",421.30000000000007,-1.5,1.0
7,1,"(84, 96]",352.0125000000003,,
8,2,"(0, 12]",0.0,0.0,0.0
9,2,"(12, 24]",394.08,-5.0,1.0
10,2,"(24, 36]",276.54,0.0,0.0
11,2,"(36, 48]",209.50000000000003,0.0,0.0
12,2,"(48, 60]",154.27,-1.0,1.0
13,2,"(60, 72]",350.8500000000001,0.0,0.0
14,2,"(72, 84]",236.34999999999997,-1.0,1.0
15,2,"(84, 96]",169.43357142857144,,
16,3,"(0, 12]",0.0,0.0,0.0
17,3,"(12, 24]",346.85000000000014,0.0,0.0
18,3,"(24, 36]",956.2600000000008,-29.95,1.0
19,3,"(36, 48]",586.2100000000002,-31.24,1.0
20,3,"(48, 60]",271.4799999999999,0.0,0.0
21,3,"(60, 72]",256.1099999999999,0.0,0.0
22,3,"(72, 84]",138.06999999999994,0.0,0.0
23,3,"(84, 96]",134.0646428571427,,
24,4,"(0, 12]",0.0,0.0,0.0
25,4,"(12, 24]",281.7700000000001,-2.5,1.0
26,4,"(24, 36]",375.5100000000001,0.0,0.0
27,4,"(36, 48]",270.75,0.0,0.0
28,4,"(48, 60]",62.15000000000001,0.0,0.0
29,4,"(60, 72]",68.0,0.0,0.0
30,4,"(72, 84]",22.54,0.0,0.0
31,4,"(84, 96]",5.057142857142793,,
32,5,"(0, 12]",0.0,0.0,0.0
33,5,"(12, 24]",217.57,0.0,0.0
34,5,"(24, 36]",201.84999999999997,0.0,0.0
35,5,"(36, 48]",86.16999999999999,0.0,0.0
36,5,"(48, 60]",32.92,0.0,0.0
37,5,"(60, 72]",99.63,0.0,0.0
