household_key,WEEK_NO_BINNED,SALES_VALUE,COUPON_DISC,COUPON_DISC_BOOL
1,"(0, 12]",119.75999999999998,-1.0,1.0
1,"(12, 24]",606.7400000000004,-6.25,1.0
1,"(24, 36]",514.08,-6.199999999999999,1.0
1,"(36, 48]",487.25,-14.299999999999999,1.0
1,"(48, 60]",559.9100000000003,-23.73,1.0
1,"(60, 72]",653.4200000000005,-12.7,1.0
1,"(72, 84]",421.30000000000007,-1.5,1.0
1,"(84, 96]",,,
2,"(0, 12]",0.0,0.0,0.0
2,"(12, 24]",394.08,-5.0,1.0
2,"(24, 36]",276.53999999999996,0.0,0.0
2,"(36, 48]",209.50000000000003,0.0,0.0
2,"(48, 60]",154.27,-1.0,1.0
2,"(60, 72]",350.8500000000001,0.0,0.0
2,"(72, 84]",236.34999999999994,-1.0,1.0
2,"(84, 96]",,,
3,"(0, 12]",0.0,0.0,0.0
3,"(12, 24]",346.85000000000014,0.0,0.0
3,"(24, 36]",956.2600000000009,-29.949999999999996,1.0
3,"(36, 48]",586.2100000000002,-31.240000000000002,1.0
3,"(48, 60]",271.4799999999999,0.0,0.0
3,"(60, 72]",256.1099999999999,0.0,0.0
3,"(72, 84]",138.06999999999994,0.0,0.0
3,"(84, 96]",,,
4,"(0, 12]",0.0,0.0,0.0
4,"(12, 24]",281.7700000000001,-2.5,1.0
4,"(24, 36]",375.51000000000005,0.0,0.0
4,"(36, 48]",270.75,0.0,0.0
4,"(48, 60]",62.15000000000001,0.0,0.0
4,"(60, 72]",68.0,0.0,0.0
4,"(72, 84]",22.54,0.0,0.0
4,"(84, 96]",,,
5,"(0, 12]",0.0,0.0,0.0
5,"(12, 24]",217.57,0.0,0.0
5,"(24, 36]",201.84999999999994,0.0,0.0
5,"(36, 48]",86.16999999999999,0.0,0.0
5,"(48, 60]",32.92,0.0,0.0
5,"(60, 72]",99.63000000000001,0.0,0.0
5,"(72, 84]",97.7,0.0,0.0
5,"(84, 96]",,,
6,"(0, 12]",0.0,0.0,0.0
6,"(12, 24]",726.2400000000007,0.0,0.0
6,"(24, 36]",845.72,-0.55,1.0
6,"(36, 48]",964.8000000000006,0.0,0.0
6,"(48, 60]",912.4200000000008,0.0,0.0
6,"(60, 72]",809.1300000000008,-2.0,1.0
6,"(72, 84]",826.610000000001,-1.0,1.0
6,"(84, 96]",,,
7,"(0, 12]",206.91000000000003,0.0,0.0
7,"(12, 24]",22.55,0.0,0.0
7,"(24, 36]",372.48999999999995,-2.25,1.0
7,"(36, 48]",277.36000000000007,-3.75,1.0
7,"(48, 60]",423.7500000000002,-0.75,1.0
7,"(60, 72]",486.6100000000004,-4.25,1.0
7,"(72, 84]",530.8300000000003,-5.0,1.0
7,"(84, 96]",,,
8,"(0, 12]",288.7500000000001,-0.5,1.0
8,"(12, 24]",510.77000000000004,-4.5,1.0
8,"(24, 36]",613.0099999999999,-9.0,1.0
8,"(36, 48]",511.4300000000001,0.0,0.0
8,"(48, 60]",790.3,-1.7,1.0
