household_key,WEEK_NO_BINNED,SALES_VALUE,COUPON_DISC,COUPON_DISC_BOOL
1,"(0, 12]",119.75999999999998,-1.0,1.0
1,"(12, 24]",606.7400000000004,-6.25,1.0
1,"(24, 36]",514.08,-6.199999999999999,1.0
1,"(36, 48]",487.25,-14.3,1.0
1,"(48, 60]",559.9100000000003,-23.73,1.0
1,"(60, 72]",653.4200000000005,-12.7,1.0
1,"(72, 84]",421.30000000000007,-1.5,1.0
1,"(84, 96]",100.0,,
2,"(0, 12]",0.0,0.0,0.0
2,"(12, 24]",394.08,-5.0,1.0
2,"(24, 36]",276.54,0.0,0.0
2,"(36, 48]",209.50000000000003,0.0,0.0
2,"(48, 60]",154.27,-1.0,1.0
2,"(60, 72]",350.8500000000001,0.0,0.0
2,"(72, 84]",236.34999999999997,-1.0,1.0
2,"(84, 96]",200.0,,
3,"(0, 12]",0.0,0.0,0.0
3,"(12, 24]",346.85000000000014,0.0,0.0
3,"(24, 36]",956.2600000000008,-29.95,1.0
3,"(36, 48]",586.2100000000002,-31.24,1.0
3,"(48, 60]",271.4799999999999,0.0,0.0
3,"(60, 72]",256.1099999999999,0.0,0.0
3,"(72, 84]",138.06999999999994,0.0,0.0
3,"(84, 96]",300.0,,
